,y,e,g,u,q,a,b,j,s,n,o,i,x,r,t,z,m,k,f,w,l,h,p,v,c,d
q138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q14yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q15yq138,q138,q8yq138,q16yq138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q17yq3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q13yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q18yq138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq12,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138yq19,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q11yq138,q138,q14yq138,q13yq138,q20yq138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q10yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q21yq138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq9,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138yq22,q138,q138yq7,q138yq23yq6,q138,q138,q138,q5yq138,q138yq24yq4,q3yq138,q138yq25,q138,q138yq2,q1yq138,q0yq138
q8yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q26yq138,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq27yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq7,q138,q14yq138yq28,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq6,q138yq29,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q5yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q30yq138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q31yq3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq4,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138yq32,q138,q138yq2,q1yq138,q0yq138
q3yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q33yq138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq2,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138yq34,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q1yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq35yq138,q10yq138,q138,q138yq9,q138,q36yq138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q37yq138,q138,q138yq2,q1yq138,q0yq138
q0yq138,q138,q38yq14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q38yq138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q15yq138,q138,q14yq138,q13yq138,q40yq138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q16yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q39yq138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q17yq3yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q41yq138yq9,q138,q33yq138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q18yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q42yq138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq19,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9yq43,q138,q138,q8yq138yq44,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q20yq138yq12,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138yq19,q138,q8yq138,q138,q138yq7,q45yq138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q21yq138yq7,q138,q46yq14yq138yq28,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q8yq138yq22,q138,q14yq138,q13yq138yq84,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q26yq138,q138,q8yq138,q138,q138yq7,q138yq6,q138yq48,q138,q138,q5yq27yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq23yq6,q138yq29,q14yq138,q13yq138,q138yq12,q138,q11yq138yq49,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7yq50,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q138yq24yq4,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138yq52,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138yq32,q138,q138yq2,q1yq138,q0yq138
q138yq25,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138yq51,q8yq138,q138,q138yq7,q138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
q26yq138,q138,q14yq138,q13yq138,q138yq12,q138,q11yq138,q10yq138,q138,q138yq9,q138,q138,q8yq138,q138,q138yq7,q47yq138yq6,q138,q138,q138,q5yq138,q138yq4,q3yq138,q138,q138,q138yq2,q1yq138,q0yq138
