danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
0.854,0.564,1,-4.964,1,0.0485,0.0171,0.0849,0.899,134.071,234596,4,5,
0.382,0.814,3,-7.23,1,0.0406,0.0011,0.101,0.569,116.454,251733,4,10,
0.434,0.614,6,-8.334,1,0.0525,0.486,0.394,0.787,147.681,109667,4,6,
0.853,0.597,10,-6.528,0,0.0555,0.0212,0.122,0.569,107.033,173968,4,5,
0.167,0.975,2,-4.279,1,0.216,0.000169,0.172,0.0918,199.06,229960,4,10,
0.235,0.977,6,0.878,1,0.107,0.00353,0.172,0.241,152.952,208133,4,6,
0.674,0.658,5,-9.647,0,0.104,0.404,0.0981,0.677,143.292,329387,4,2,
0.657,0.415,5,-9.915,1,0.025,0.175,0.132,0.347,96.03,3.105783333,4,4,
0.431,0.776,10,-5.403,1,0.0527,0.0000221,0.179,0.318,120.857,237867,4,8,
0.716,0.885,1,-4.348,0,0.0333,0.0614,0.253,0.833,128.043,164093,4,9,
0.491,0.563,7,-8.588,0,0.0331,0.957,0.263,0.843,95.558,4.33045,4,3,
0.387,0.922,9,-5.192,0,0.0674,0.00487,0.187,0.417,146.478,222947,4,10,
0.585,0.381,1,-7.622,0,0.0463,0.435,0.126,0.322,143.876,206875,4,9,
0.462,0.374,11,-12.069,0,0.0331,0.949,0.131,0.174,122.939,4.44025,3,7,
0.653,0.519,2,-10.164,1,0.0497,0.406,0.101,0.822,98.883,153693,4,10,
0.431,0.852,2,-6.522,1,0.0431,0.564,0.254,0.794,67.601,146800,4,2,
0.713,0.939,5,-3.609,0,0.0372,0.11,0.331,0.88,108.034,179320,4,9,
0.564,0.801,1,-4.73,0,0.0473,0.00233,0.067,0.401,105.01,154293,4,10,
0.57,0.458,9,-5.935,0,0.0236,0.502,0.134,0.19,93.088,217529,4,9,
0.852,0.73,1,-5.803,1,0.0579,0.0219,0.336,0.394,92.506,157693,4,5,
0.347,0.411,6,-8.071,1,0.0414,0.0181,0.0975,0.395,171.991,283013,4,6,
0.796,0.441,7,-9.83,1,0.292,0.16,0.118,0.371,158.105,137872,4,1,
0.805,0.448,7,-9.452,1,0.112,0.0602,0.113,0.775,160.018,138000,4,5,
0.472,0.947,9,-6.128,1,0.0774,0.00000943,0.364,0.75,98.784,309867,4,10,
