Time,X,Y,Z,R,Theta,Phi,label
0,3.220201,6.949171,4.565742,8.916651,59.199738,65.137291,BUENO
0.00995,3.256114,7.290344,4.739322,9.285072,59.307934,65.932846,BUENO
0.019803,3.71221,7.072472,5.389348,9.635633,55.991604,62.305847,BUENO
0.029728,3.99712,6.756437,5.493496,9.581488,55.016201,59.391369,BUENO
0.039727,4.091691,6.354211,5.365406,9.268523,54.627865,57.221153,BUENO
0.049784,4.499902,6.368577,5.643134,9.625634,54.10788,54.755775,BUENO
0.059765,5.272032,6.873753,5.920861,10.492826,55.647896,52.512508,BUENO
0.069929,6.160281,7.526173,6.092046,11.476296,57.937954,50.699181,BUENO
0.079991,6.573281,7.714118,6.082469,11.819986,59.029816,49.565334,BUENO
0.090047,6.775591,7.887698,6.002264,12.006314,60.004925,49.337177,BUENO
0.099897,6.526594,7.592013,6.068104,11.707133,58.78001,49.315479,BUENO
0.109916,5.693412,6.716933,5.674258,10.475177,57.2015,49.714695,BUENO
0.119951,4.827908,6.248867,5.385756,9.55842,55.704803,52.310135,BUENO
0.130006,3.973178,5.942409,5.172673,8.823543,54.109692,56.232758,BUENO
0.140068,3.550601,6.344635,5.023035,8.836969,55.36047,60.767635,BUENO
0.149961,3.543418,6.910863,5.092467,9.287037,56.7467,62.854351,BUENO
0.159794,3.699042,7.05691,5.212177,9.521012,56.808479,62.337685,BUENO
0.17001,3.913323,6.944382,5.228937,9.533117,56.735676,60.597717,BUENO
0.180087,4.112041,7.012617,5.352238,9.733043,56.639584,59.613594,BUENO
0.189921,4.066552,7.163452,5.462371,9.883794,56.450348,60.417271,BUENO
0.199793,3.919308,7.183802,5.748478,10.000649,54.913639,61.38419,BUENO
0.20979,3.98036,7.067683,5.901707,10.031229,53.961166,60.612766,BUENO
0.219896,4.21978,6.975507,5.875371,10.04909,54.220535,58.828476,BUENO
0.230053,4.503493,6.885724,5.749675,10.037601,55.053333,56.813972,BUENO
0.240019,4.624401,6.864176,5.57849,9.98106,56.019718,56.031822,BUENO
0.250052,4.590882,6.947973,5.482722,9.970495,56.640217,56.545219,BUENO
0.259968,4.487931,7.068881,5.456386,9.994136,56.909798,57.589119,BUENO
0.269844,4.436456,7.184999,5.555745,10.108049,56.657974,58.306293,BUENO
0.279766,4.428076,7.115568,5.675455,10.121757,55.894505,58.105656,BUENO
0.290038,4.437653,6.964733,5.697003,10.032752,55.400227,57.496319,BUENO
0.300346,4.432865,6.843825,5.634754,9.911543,55.354015,57.068169,BUENO
0.31007,4.365827,6.82946,5.580884,9.84115,55.451981,57.41069,BUENO
0.320007,4.267664,6.898892,5.562928,9.836353,55.559662,58.259007,BUENO
0.329798,4.214992,6.904878,5.489904,9.776632,55.8381,58.598568,BUENO
0.339909,4.250905,6.858191,5.474342,9.750559,55.844639,58.208168,BUENO
0.349882,4.243722,6.793547,5.511452,9.723043,55.469536,58.008232,BUENO
0.36008,4.213795,6.744466,5.527015,9.684616,55.200912,58.003757,BUENO
0.370041,4.237737,6.737284,5.564125,9.711276,55.043449,57.830196,BUENO
0.380132,4.376601,6.749255,5.606023,9.804824,55.126831,57.03833,BUENO
0.390002,4.41012,6.738481,5.679047,9.854331,54.809307,56.796539,BUENO
0.399827,4.296395,6.727707,5.734113,9.828586,54.309128,57.43721,BUENO
0.40992,4.198233,6.713342,5.707777,9.76078,54.213509,57.979927,BUENO
0.419995,4.104859,6.823475,5.729325,9.809936,54.265301,58.969769,BUENO
0.430097,4.335899,6.756437,5.543774,9.756172,55.372936,57.309948,BUENO
0.440021,4.547786,6.767211,5.591658,9.886563,55.557316,56.09761,BUENO
0.450016,4.728549,6.981492,5.588067,10.115675,56.467041,55.890305,BUENO
0.460101,4.892551,7.596802,5.527015,10.592278,58.547157,57.217342,BUENO
0.469877,4.129998,7.299921,5.558139,10.061742,56.467957,60.500587,BUENO
0.479887,4.050989,6.859388,5.741296,9.819582,54.219738,59.434925,BUENO
0.490386,4.181473,6.563704,5.91727,9.776554,52.75309,57.50042,BUENO
0.500112,4.314352,6.490681,5.926847,9.791327,52.748417,56.388039,BUENO
0.509956,4.423288,6.592434,5.799953,9.831842,53.849007,56.139801,BUENO
0.520231,4.522647,6.782773,5.656301,9.922403,55.246037,56.305267,BUENO
0.530593,4.498705,6.932411,5.621585,9.994944,55.775085,57.018929,BUENO
0.540153,4.302381,6.945579,5.620389,9.916669,55.475281,58.224205,BUENO
0.5499009,4.121618,6.88333,5.622783,9.797125,54.975845,59.087559,BUENO
0.559916,4.083311,6.819883,5.601235,9.724097,54.829189,59.089516,BUENO
0.57025,4.175488,6.793547,5.594052,9.740657,54.949425,58.424053,BUENO
0.579965,4.299986,6.797139,5.619191,9.811539,55.060402,57.681854,BUENO
0.59031,4.398149,6.787562,5.66109,9.872317,55.010193,57.057903,BUENO
0.600522,4.426879,6.745663,5.612009,9.82832,55.179741,56.724892,BUENO
0.609865,4.43047,6.683414,5.612009,9.787325,55.01265,56.459389,BUENO
0.620056,4.398149,6.639122,5.542577,9.70267,55.16309,56.477142,BUENO
0.6313319,4.350265,6.645107,5.486313,9.653076,55.364845,56.788963,BUENO
0.639976,4.355053,6.793547,5.432444,9.727806,56.051678,57.337803,BUENO
0.650099,4.361038,6.841431,5.482722,9.792042,55.950005,57.484718,BUENO
0.6598899,4.33949,6.843825,5.688623,9.900988,54.931797,57.622288,BUENO
0.670126,4.38498,6.862979,5.756858,9.973462,54.744923,57.424168,BUENO
0.680398,4.46758,6.818686,5.723339,9.960441,54.927883,56.767319,BUENO
0.690045,4.527435,6.730101,5.643134,9.881138,55.17292,56.070713,BUENO
0.700088,4.507085,6.651093,5.589264,9.787272,55.174797,55.876633,BUENO
0.709925,4.452018,6.625953,5.564125,9.73053,55.122669,56.102604,BUENO
0.7200679,4.394557,6.636727,5.554548,9.70625,55.091675,56.489178,BUENO
0.730792,4.35625,6.695385,5.538986,9.720363,55.261402,56.950573,BUENO
0.739982,4.371812,6.803124,5.665878,9.874078,54.983421,57.274456,BUENO
0.750124,4.505888,6.936002,5.749675,10.073227,55.194817,56.990734,BUENO
0.7613249,4.663905,7.022193,5.720945,10.187857,55.837254,56.409222,BUENO
0.770281,4.72376,6.973113,5.695806,10.167616,55.931,55.885311,BUENO
0.780012,4.795586,6.867768,5.732916,10.150379,55.611721,55.07439,BUENO
0.790105,4.693832,6.739678,5.746084,10.023613,55.022491,55.14481,BUENO
0.80009,4.519056,6.640318,5.722142,9.861978,54.533798,55.762833,BUENO
0.8101479,4.369418,6.636727,5.683835,9.769542,54.423367,56.640316,BUENO
0.8211589,4.272453,6.715736,5.657499,9.76536,54.595612,57.536079,BUENO
0.831274,4.250905,6.791153,5.649119,9.803188,54.812557,57.955597,BUENO
0.839968,4.276044,6.824672,5.560534,9.786737,55.377266,57.930519,BUENO
0.850222,4.254497,6.795941,5.507861,9.727388,55.512806,57.951996,BUENO
0.860363,4.258088,6.789956,5.543774,9.745165,55.328236,57.907532,BUENO
0.870219,4.31076,6.816292,5.610812,9.82475,55.173763,57.689919,BUENO
0.880345,4.355053,6.877345,5.626374,9.895475,55.348705,57.656116,BUENO
0.89019,4.357447,6.907272,5.644331,9.927548,55.350662,57.754253,BUENO
0.899938,4.352659,6.913258,5.645528,9.930295,55.353222,57.805058,BUENO
