,r,h,y,g,l,i,v,k,o,m,u,b,x,t,z,f,w,s,a,p,e,n,c,d,final
q0,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q1,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q2,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q2,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q3,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q3,q69,q0,q0,q57,q65,q61,q127,q0,q4,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q4,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q5,q6,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q6,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q7,q0,q10,q26,0
q7,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q8,q0,q38,q0,q10,q26,0
q8,q69,q0,q0,q57,q65,q61,q127,q9,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q9,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q10,q69,q14,q0,q57,q65,q61,q127,q0,q17,q0,q116,q5,q0,q109,q0,q50,q137,q81,q11,q0,q38,q0,q10,q26,0
q11,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q12,q1,q0,q38,q0,q10,q26,0
q12,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q13,q0,q10,q26,0
q13,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q14,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q15,q0,q38,q0,q10,q26,0
q15,q16,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q16,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q17,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q18,q10,q26,0
q18,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q21,q0,q50,q137,q19,q1,q0,q38,q0,q10,q26,0
q19,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q20,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q20,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q21,q69,q0,q0,q57,q65,q22,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q22,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q23,q10,q26,0
q23,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q24,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q24,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q25,q0,q10,q26,0
q25,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q26,q69,q0,q0,q57,q65,q61,q127,q0,q33,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q27,q0,q10,q26,0
q27,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q28,q137,q81,q1,q0,q38,q0,q10,q26,0
q28,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q29,q0,q38,q0,q10,q26,0
q29,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q30,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q30,q69,q0,q0,q57,q31,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q31,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q32,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q32,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q33,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q34,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q34,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q35,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q35,q69,q0,q0,q57,q36,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q36,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q37,q0,q10,q26,0
q37,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q38,q69,q0,q0,q57,q39,q61,q127,q0,q0,q0,q116,q5,q45,q109,q0,q50,q137,q81,q1,q0,q38,q42,q10,q26,0
